ID,data,tipo,categoria,valor,descricao
470,2025-01-18,saida,Impostos,1595.11,Transação referente a Impostos
1430,2025-01-18,saida,Marketing,4391.47,Transação referente a Marketing
1377,2025-01-18,saida,Impostos,167.48,Transação referente a Impostos
1063,2025-01-18,saida,Aluguel,1054.61,Transação referente a Aluguel
1355,2025-01-18,saida,Impostos,3020.01,Transação referente a Impostos
202,2025-01-19,saida,Folha Salarial,795.3,Transação referente a Folha Salarial
409,2025-01-19,saida,Manutenção,2323.41,Transação referente a Manutenção
816,2025-01-19,entrada,Prestação de Serviços,4060.97,Transação referente a Prestação de Serviços
692,2025-01-19,saida,Impostos,4376.92,Transação referente a Impostos
1058,2025-01-20,saida,Folha Salarial,1356.7,Transação referente a Folha Salarial
111,2025-01-20,saida,Logística,3333.95,Transação referente a Logística
1431,2025-01-20,entrada,Aportes,10496.24,Transação referente a Aportes
1373,2025-01-21,saida,Software SaaS,880.56,Transação referente a Software SaaS
1,2025-01-21,saida,Software SaaS,4429.25,Transação referente a Software SaaS
598,2025-01-21,entrada,Aportes,5990.56,Transação referente a Aportes
758,2025-01-21,saida,Marketing,1780.03,Transação referente a Marketing
1071,2025-01-22,entrada,Prestação de Serviços,12173.68,Transação referente a Prestação de Serviços
542,2025-01-22,saida,Aluguel,3832.97,Transação referente a Aluguel
403,2025-01-23,saida,Marketing,2933.2,Transação referente a Marketing
549,2025-01-23,saida,Logística,3043.43,Transação referente a Logística
547,2025-01-24,saida,Logística,1135.75,Transação referente a Logística
68,2025-01-24,saida,Marketing,2473.09,Transação referente a Marketing
330,2025-01-24,saida,Aluguel,575.39,Transação referente a Aluguel
1045,2025-01-25,saida,Software SaaS,4161.27,Transação referente a Software SaaS
1393,2025-01-25,saida,Logística,2894.24,Transação referente a Logística
429,2025-01-25,saida,Marketing,964.28,Transação referente a Marketing
1328,2025-01-25,entrada,Vendas de Produtos,6219.11,Transação referente a Vendas de Produtos
1098,2025-01-25,entrada,Prestação de Serviços,3691.83,Transação referente a Prestação de Serviços
679,2025-01-26,entrada,Prestação de Serviços,13746.35,Transação referente a Prestação de Serviços
1322,2025-01-26,saida,Logística,1129.35,Transação referente a Logística
588,2025-01-26,saida,Logística,379.06,Transação referente a Logística
1209,2025-01-26,entrada,Prestação de Serviços,6652.75,Transação referente a Prestação de Serviços
938,2025-01-26,saida,Impostos,2229.77,Transação referente a Impostos
299,2025-01-26,saida,Marketing,3747.75,Transação referente a Marketing
548,2025-01-26,saida,Impostos,3554.17,Transação referente a Impostos
344,2025-01-26,entrada,Aportes,5569.98,Transação referente a Aportes
33,2025-01-26,saida,Software SaaS,1300.63,Transação referente a Software SaaS
343,2025-01-27,entrada,Rendimentos,10999.61,Transação referente a Rendimentos
795,2025-01-27,saida,Aluguel,839.65,Transação referente a Aluguel
89,2025-01-27,entrada,Vendas de Produtos,8953.49,Transação referente a Vendas de Produtos
3,2025-01-27,saida,Impostos,760.21,Transação referente a Impostos
1177,2025-01-28,entrada,Aportes,13335.9,Transação referente a Aportes
1454,2025-01-28,entrada,Prestação de Serviços,10327.76,Transação referente a Prestação de Serviços
93,2025-01-28,entrada,Rendimentos,8593.96,Transação referente a Rendimentos
8,2025-01-28,saida,Marketing,2650.67,Transação referente a Marketing
1294,2025-01-28,saida,Manutenção,3994.25,Transação referente a Manutenção
736,2025-01-29,saida,Impostos,862.57,Transação referente a Impostos
480,2025-01-29,saida,Impostos,3915.16,Transação referente a Impostos
1408,2025-01-30,saida,Marketing,1512.51,Transação referente a Marketing
390,2025-01-31,saida,Aluguel,3640.78,Transação referente a Aluguel
397,2025-01-31,saida,Folha Salarial,2916.75,Transação referente a Folha Salarial
1013,2025-01-31,saida,Marketing,4182.04,Transação referente a Marketing
1428,2025-01-31,entrada,Rendimentos,12558.92,Transação referente a Rendimentos
378,2025-02-01,saida,Marketing,2554.18,Transação referente a Marketing
1103,2025-02-01,entrada,Prestação de Serviços,10804.95,Transação referente a Prestação de Serviços
1338,2025-02-01,saida,Folha Salarial,1867.17,Transação referente a Folha Salarial
1065,2025-02-02,entrada,Aportes,4850.92,Transação referente a Aportes
693,2025-02-02,entrada,Aportes,3215.22,Transação referente a Aportes
1162,2025-02-03,entrada,Rendimentos,2815.7,Transação referente a Rendimentos
520,2025-02-03,saida,Manutenção,364.45,Transação referente a Manutenção
539,2025-02-03,entrada,Rendimentos,12991.36,Transação referente a Rendimentos
853,2025-02-03,saida,Marketing,1899.7,Transação referente a Marketing
337,2025-02-04,entrada,Vendas de Produtos,12284.64,Transação referente a Vendas de Produtos
1028,2025-02-04,saida,Folha Salarial,2711.28,Transação referente a Folha Salarial
1337,2025-02-04,saida,Marketing,176.99,Transação referente a Marketing
83,2025-02-04,entrada,Aportes,11448.28,Transação referente a Aportes
35,2025-02-05,saida,Folha Salarial,852.33,Transação referente a Folha Salarial
210,2025-02-05,entrada,Rendimentos,2235.75,Transação referente a Rendimentos
1128,2025-02-05,saida,Aluguel,3667.22,Transação referente a Aluguel
1226,2025-02-05,entrada,Aportes,14847.23,Transação referente a Aportes
1364,2025-02-05,saida,Impostos,3610.08,Transação referente a Impostos
1122,2025-02-06,saida,Aluguel,3899.2,Transação referente a Aluguel
585,2025-02-06,entrada,Rendimentos,9067.91,Transação referente a Rendimentos
481,2025-02-06,saida,Aluguel,278.05,Transação referente a Aluguel
1471,2025-02-06,saida,Impostos,4478.37,Transação referente a Impostos
64,2025-02-06,entrada,Vendas de Produtos,7566.18,Transação referente a Vendas de Produtos
1055,2025-02-06,saida,Impostos,1202.31,Transação referente a Impostos
627,2025-02-06,saida,Manutenção,2784.38,Transação referente a Manutenção
571,2025-02-07,saida,Software SaaS,2602.92,Transação referente a Software SaaS
177,2025-02-07,saida,Aluguel,3015.57,Transação referente a Aluguel
559,2025-02-08,entrada,Aportes,11832.05,Transação referente a Aportes
814,2025-02-08,saida,Logística,850.05,Transação referente a Logística
835,2025-02-08,saida,Impostos,2546.53,Transação referente a Impostos
134,2025-02-08,saida,Marketing,4162.25,Transação referente a Marketing
356,2025-02-08,saida,Logística,1467.71,Transação referente a Logística
921,2025-02-09,saida,Logística,2613.13,Transação referente a Logística
211,2025-02-10,saida,Manutenção,85.06,Transação referente a Manutenção
216,2025-02-10,entrada,Vendas de Produtos,10943.73,Transação referente a Vendas de Produtos
1244,2025-02-10,saida,Marketing,330.31,Transação referente a Marketing
413,2025-02-11,saida,Logística,3888.48,Transação referente a Logística
50,2025-02-11,entrada,Rendimentos,7078.0,Transação referente a Rendimentos
636,2025-02-11,saida,Manutenção,3667.88,Transação referente a Manutenção
735,2025-02-12,entrada,Rendimentos,13309.48,Transação referente a Rendimentos
983,2025-02-12,entrada,Rendimentos,1784.94,Transação referente a Rendimentos
290,2025-02-13,saida,Marketing,3001.33,Transação referente a Marketing
1017,2025-02-13,saida,Software SaaS,1423.21,Transação referente a Software SaaS
256,2025-02-14,saida,Software SaaS,1047.09,Transação referente a Software SaaS
575,2025-02-14,entrada,Vendas de Produtos,14830.54,Transação referente a Vendas de Produtos
154,2025-02-14,saida,Software SaaS,3561.25,Transação referente a Software SaaS
713,2025-02-14,saida,Folha Salarial,1860.62,Transação referente a Folha Salarial
874,2025-02-15,entrada,Rendimentos,9090.65,Transação referente a Rendimentos
1350,2025-02-15,saida,Software SaaS,910.6,Transação referente a Software SaaS
1264,2025-02-15,saida,Manutenção,737.75,Transação referente a Manutenção
374,2025-02-15,entrada,Aportes,14584.51,Transação referente a Aportes
699,2025-02-15,entrada,Prestação de Serviços,8335.16,Transação referente a Prestação de Serviços
412,2025-02-15,saida,Manutenção,3068.82,Transação referente a Manutenção
67,2025-02-15,saida,Manutenção,1999.15,Transação referente a Manutenção
629,2025-02-15,saida,Software SaaS,3225.88,Transação referente a Software SaaS
1157,2025-02-15,saida,Impostos,1364.09,Transação referente a Impostos
537,2025-02-15,entrada,Rendimentos,12158.95,Transação referente a Rendimentos
557,2025-02-15,entrada,Prestação de Serviços,6991.71,Transação referente a Prestação de Serviços
420,2025-02-16,saida,Software SaaS,3707.17,Transação referente a Software SaaS
1323,2025-02-16,saida,Manutenção,2289.05,Transação referente a Manutenção
1027,2025-02-16,saida,Folha Salarial,2266.66,Transação referente a Folha Salarial
446,2025-02-16,entrada,Aportes,2260.9,Transação referente a Aportes
1366,2025-02-16,saida,Logística,3053.29,Transação referente a Logística
65,2025-02-16,saida,Manutenção,2069.05,Transação referente a Manutenção
1253,2025-02-17,saida,Impostos,2101.23,Transação referente a Impostos
302,2025-02-17,saida,Logística,1311.76,Transação referente a Logística
574,2025-02-17,entrada,Rendimentos,10439.84,Transação referente a Rendimentos
1104,2025-02-17,entrada,Vendas de Produtos,7056.59,Transação referente a Vendas de Produtos
489,2025-02-17,saida,Folha Salarial,413.55,Transação referente a Folha Salarial
274,2025-02-18,saida,Software SaaS,1621.33,Transação referente a Software SaaS
309,2025-02-18,saida,Aluguel,2501.13,Transação referente a Aluguel
518,2025-02-18,saida,Logística,4083.67,Transação referente a Logística
1262,2025-02-19,saida,Logística,4303.62,Transação referente a Logística
532,2025-02-19,entrada,Vendas de Produtos,14078.6,Transação referente a Vendas de Produtos
715,2025-02-19,entrada,Aportes,14698.22,Transação referente a Aportes
19,2025-02-19,entrada,Vendas de Produtos,11280.02,Transação referente a Vendas de Produtos
912,2025-02-19,saida,Software SaaS,2047.58,Transação referente a Software SaaS
187,2025-02-20,saida,Marketing,3882.73,Transação referente a Marketing
797,2025-02-21,entrada,Rendimentos,10641.27,Transação referente a Rendimentos
1458,2025-02-21,saida,Folha Salarial,1377.0,Transação referente a Folha Salarial
1236,2025-02-21,entrada,Aportes,8742.15,Transação referente a Aportes
536,2025-02-22,saida,Software SaaS,1266.86,Transação referente a Software SaaS
1424,2025-02-22,entrada,Vendas de Produtos,5978.32,Transação referente a Vendas de Produtos
490,2025-02-22,entrada,Aportes,13111.48,Transação referente a Aportes
608,2025-02-22,entrada,Aportes,11975.36,Transação referente a Aportes
951,2025-02-22,saida,Logística,1414.48,Transação referente a Logística
186,2025-02-22,saida,Aluguel,2440.37,Transação referente a Aluguel
540,2025-02-22,saida,Manutenção,3728.63,Transação referente a Manutenção
979,2025-02-23,entrada,Vendas de Produtos,5733.3,Transação referente a Vendas de Produtos
530,2025-02-23,saida,Marketing,2594.75,Transação referente a Marketing
488,2025-02-24,saida,Logística,3144.44,Transação referente a Logística
1204,2025-02-24,entrada,Rendimentos,1497.69,Transação referente a Rendimentos
892,2025-02-24,saida,Folha Salarial,3789.07,Transação referente a Folha Salarial
802,2025-02-25,entrada,Prestação de Serviços,12537.52,Transação referente a Prestação de Serviços
43,2025-02-25,entrada,Prestação de Serviços,9772.05,Transação referente a Prestação de Serviços
456,2025-02-26,saida,Marketing,406.57,Transação referente a Marketing
398,2025-02-27,entrada,Rendimentos,2072.96,Transação referente a Rendimentos
310,2025-02-27,entrada,Prestação de Serviços,9032.17,Transação referente a Prestação de Serviços
687,2025-02-27,saida,Aluguel,3871.28,Transação referente a Aluguel
1093,2025-03-01,saida,Logística,3700.98,Transação referente a Logística
1438,2025-03-01,saida,Marketing,2084.17,Transação referente a Marketing
78,2025-03-02,saida,Software SaaS,3483.76,Transação referente a Software SaaS
943,2025-03-02,saida,Marketing,3569.21,Transação referente a Marketing
602,2025-03-02,saida,Logística,3563.95,Transação referente a Logística
16,2025-03-02,entrada,Prestação de Serviços,4431.3,Transação referente a Prestação de Serviços
668,2025-03-02,saida,Folha Salarial,1346.05,Transação referente a Folha Salarial
46,2025-03-02,entrada,Prestação de Serviços,14759.37,Transação referente a Prestação de Serviços
94,2025-03-02,saida,Impostos,3312.89,Transação referente a Impostos
246,2025-03-03,saida,Aluguel,3265.59,Transação referente a Aluguel
172,2025-03-03,saida,Aluguel,4352.34,Transação referente a Aluguel
341,2025-03-03,saida,Software SaaS,3734.56,Transação referente a Software SaaS
1387,2025-03-03,saida,Marketing,2741.01,Transação referente a Marketing
44,2025-03-04,saida,Folha Salarial,123.36,Transação referente a Folha Salarial
1218,2025-03-04,entrada,Vendas de Produtos,9413.82,Transação referente a Vendas de Produtos
1369,2025-03-04,saida,Impostos,3155.88,Transação referente a Impostos
665,2025-03-05,saida,Marketing,1372.01,Transação referente a Marketing
483,2025-03-05,entrada,Rendimentos,4108.16,Transação referente a Rendimentos
643,2025-03-05,saida,Impostos,1867.34,Transação referente a Impostos
455,2025-03-06,entrada,Rendimentos,7444.65,Transação referente a Rendimentos
265,2025-03-06,entrada,Rendimentos,7888.57,Transação referente a Rendimentos
684,2025-03-06,saida,Folha Salarial,4055.52,Transação referente a Folha Salarial
630,2025-03-06,entrada,Aportes,6411.67,Transação referente a Aportes
833,2025-03-06,saida,Impostos,3308.07,Transação referente a Impostos
683,2025-03-06,saida,Impostos,4032.69,Transação referente a Impostos
589,2025-03-06,entrada,Rendimentos,13560.79,Transação referente a Rendimentos
375,2025-03-07,entrada,Prestação de Serviços,5291.38,Transação referente a Prestação de Serviços
1425,2025-03-07,entrada,Prestação de Serviços,10501.23,Transação referente a Prestação de Serviços
369,2025-03-08,saida,Folha Salarial,3531.26,Transação referente a Folha Salarial
502,2025-03-08,entrada,Prestação de Serviços,14140.32,Transação referente a Prestação de Serviços
911,2025-03-08,saida,Impostos,2435.23,Transação referente a Impostos
562,2025-03-09,entrada,Aportes,13642.12,Transação referente a Aportes
1257,2025-03-09,saida,Aluguel,4162.5,Transação referente a Aluguel
1306,2025-03-09,entrada,Rendimentos,8931.38,Transação referente a Rendimentos
769,2025-03-10,saida,Software SaaS,350.38,Transação referente a Software SaaS
1150,2025-03-10,saida,Folha Salarial,580.48,Transação referente a Folha Salarial
1492,2025-03-10,entrada,Prestação de Serviços,6238.45,Transação referente a Prestação de Serviços
1255,2025-03-10,saida,Manutenção,1700.78,Transação referente a Manutenção
1004,2025-03-11,saida,Marketing,2426.99,Transação referente a Marketing
129,2025-03-11,saida,Logística,2916.23,Transação referente a Logística
445,2025-03-11,saida,Impostos,3387.77,Transação referente a Impostos
335,2025-03-11,saida,Marketing,324.33,Transação referente a Marketing
955,2025-03-11,saida,Folha Salarial,838.01,Transação referente a Folha Salarial
159,2025-03-11,entrada,Aportes,12066.9,Transação referente a Aportes
101,2025-03-11,saida,Manutenção,3243.37,Transação referente a Manutenção
1288,2025-03-12,entrada,Rendimentos,11006.4,Transação referente a Rendimentos
1234,2025-03-12,entrada,Prestação de Serviços,2559.92,Transação referente a Prestação de Serviços
193,2025-03-12,saida,Marketing,660.74,Transação referente a Marketing
583,2025-03-13,entrada,Aportes,7454.17,Transação referente a Aportes
285,2025-03-13,saida,Folha Salarial,3080.17,Transação referente a Folha Salarial
1096,2025-03-14,entrada,Aportes,14875.8,Transação referente a Aportes
226,2025-03-14,entrada,Prestação de Serviços,5370.77,Transação referente a Prestação de Serviços
1256,2025-03-14,entrada,Aportes,6298.16,Transação referente a Aportes
1353,2025-03-14,saida,Manutenção,869.7,Transação referente a Manutenção
1285,2025-03-14,entrada,Rendimentos,1608.92,Transação referente a Rendimentos
857,2025-03-15,saida,Logística,205.88,Transação referente a Logística
667,2025-03-15,saida,Marketing,3347.92,Transação referente a Marketing
620,2025-03-15,entrada,Prestação de Serviços,12897.32,Transação referente a Prestação de Serviços
723,2025-03-15,saida,Impostos,4279.51,Transação referente a Impostos
563,2025-03-16,entrada,Aportes,14524.25,Transação referente a Aportes
1365,2025-03-16,entrada,Vendas de Produtos,5862.01,Transação referente a Vendas de Produtos
496,2025-03-17,entrada,Aportes,3441.66,Transação referente a Aportes
84,2025-03-17,saida,Folha Salarial,1817.27,Transação referente a Folha Salarial
235,2025-03-18,saida,Manutenção,3593.07,Transação referente a Manutenção
1241,2025-03-18,entrada,Vendas de Produtos,1349.72,Transação referente a Vendas de Produtos
1385,2025-03-18,saida,Software SaaS,2082.21,Transação referente a Software SaaS
444,2025-03-18,saida,Software SaaS,3085.77,Transação referente a Software SaaS
596,2025-03-18,entrada,Vendas de Produtos,2008.58,Transação referente a Vendas de Produtos
933,2025-03-18,saida,Manutenção,4438.05,Transação referente a Manutenção
963,2025-03-18,saida,Manutenção,3384.38,Transação referente a Manutenção
287,2025-03-19,saida,Software SaaS,578.39,Transação referente a Software SaaS
164,2025-03-20,entrada,Rendimentos,2350.87,Transação referente a Rendimentos
76,2025-03-20,entrada,Prestação de Serviços,14300.02,Transação referente a Prestação de Serviços
1024,2025-03-20,saida,Folha Salarial,1390.42,Transação referente a Folha Salarial
153,2025-03-20,saida,Aluguel,1695.12,Transação referente a Aluguel
1072,2025-03-20,saida,Manutenção,2823.13,Transação referente a Manutenção
960,2025-03-20,saida,Manutenção,3150.32,Transação referente a Manutenção
506,2025-03-20,entrada,Rendimentos,12248.0,Transação referente a Rendimentos
1335,2025-03-20,saida,Aluguel,3163.87,Transação referente a Aluguel
740,2025-03-21,entrada,Aportes,4738.52,Transação referente a Aportes
642,2025-03-21,saida,Aluguel,2904.59,Transação referente a Aluguel
422,2025-03-21,saida,Software SaaS,4313.47,Transação referente a Software SaaS
437,2025-03-21,entrada,Prestação de Serviços,14411.15,Transação referente a Prestação de Serviços
1199,2025-03-21,saida,Aluguel,3203.29,Transação referente a Aluguel
1100,2025-03-22,saida,Impostos,443.95,Transação referente a Impostos
1107,2025-03-23,saida,Logística,56.26,Transação referente a Logística
423,2025-03-23,saida,Software SaaS,3268.06,Transação referente a Software SaaS
260,2025-03-23,entrada,Aportes,7817.46,Transação referente a Aportes
318,2025-03-24,saida,Folha Salarial,1898.64,Transação referente a Folha Salarial
509,2025-03-24,saida,Aluguel,4322.83,Transação referente a Aluguel
1374,2025-03-24,entrada,Aportes,4680.1,Transação referente a Aportes
674,2025-03-24,saida,Folha Salarial,1604.4,Transação referente a Folha Salarial
394,2025-03-24,entrada,Vendas de Produtos,14628.23,Transação referente a Vendas de Produtos
1426,2025-03-25,saida,Impostos,958.56,Transação referente a Impostos
1212,2025-03-25,saida,Software SaaS,78.14,Transação referente a Software SaaS
137,2025-03-26,entrada,Aportes,5365.46,Transação referente a Aportes
1166,2025-03-26,entrada,Aportes,14805.93,Transação referente a Aportes
439,2025-03-26,entrada,Prestação de Serviços,11449.66,Transação referente a Prestação de Serviços
780,2025-03-27,entrada,Aportes,14614.07,Transação referente a Aportes
959,2025-03-27,saida,Logística,4346.91,Transação referente a Logística
701,2025-03-28,entrada,Prestação de Serviços,6137.7,Transação referente a Prestação de Serviços
301,2025-03-28,saida,Impostos,4208.62,Transação referente a Impostos
1399,2025-03-28,saida,Impostos,1748.08,Transação referente a Impostos
1488,2025-03-28,saida,Software SaaS,1929.96,Transação referente a Software SaaS
280,2025-03-28,saida,Folha Salarial,3477.98,Transação referente a Folha Salarial
503,2025-03-28,saida,Manutenção,1383.48,Transação referente a Manutenção
775,2025-03-28,saida,Impostos,4354.44,Transação referente a Impostos
458,2025-03-28,saida,Aluguel,1314.62,Transação referente a Aluguel
868,2025-03-29,entrada,Vendas de Produtos,8564.89,Transação referente a Vendas de Produtos
752,2025-03-29,saida,Software SaaS,2847.86,Transação referente a Software SaaS
1153,2025-03-29,saida,Impostos,2063.56,Transação referente a Impostos
468,2025-03-29,saida,Logística,4178.7,Transação referente a Logística
1465,2025-03-29,entrada,Aportes,7348.39,Transação referente a Aportes
646,2025-03-30,entrada,Rendimentos,7039.09,Transação referente a Rendimentos
746,2025-03-30,saida,Manutenção,3053.03,Transação referente a Manutenção
1331,2025-03-30,entrada,Rendimentos,4891.86,Transação referente a Rendimentos
1088,2025-03-30,entrada,Aportes,14621.26,Transação referente a Aportes
1185,2025-03-30,saida,Aluguel,862.87,Transação referente a Aluguel
1295,2025-03-31,saida,Folha Salarial,3446.69,Transação referente a Folha Salarial
1339,2025-03-31,saida,Aluguel,3780.72,Transação referente a Aluguel
1102,2025-03-31,entrada,Prestação de Serviços,8544.67,Transação referente a Prestação de Serviços
447,2025-03-31,saida,Logística,170.5,Transação referente a Logística
486,2025-04-01,saida,Impostos,630.98,Transação referente a Impostos
1156,2025-04-01,saida,Logística,395.15,Transação referente a Logística
1349,2025-04-01,saida,Impostos,3249.97,Transação referente a Impostos
847,2025-04-01,saida,Logística,2116.08,Transação referente a Logística
316,2025-04-01,saida,Software SaaS,3497.08,Transação referente a Software SaaS
479,2025-04-02,saida,Impostos,4295.06,Transação referente a Impostos
957,2025-04-02,entrada,Vendas de Produtos,4266.95,Transação referente a Vendas de Produtos
662,2025-04-02,saida,Logística,294.39,Transação referente a Logística
524,2025-04-02,saida,Marketing,3216.94,Transação referente a Marketing
1392,2025-04-02,saida,Manutenção,1923.96,Transação referente a Manutenção
841,2025-04-02,saida,Manutenção,1154.86,Transação referente a Manutenção
1025,2025-04-03,saida,Manutenção,347.91,Transação referente a Manutenção
842,2025-04-03,entrada,Aportes,14835.14,Transação referente a Aportes
962,2025-04-04,entrada,Prestação de Serviços,4930.19,Transação referente a Prestação de Serviços
628,2025-04-04,saida,Marketing,2514.18,Transação referente a Marketing
1174,2025-04-04,entrada,Prestação de Serviços,13334.58,Transação referente a Prestação de Serviços
705,2025-04-04,saida,Impostos,3157.14,Transação referente a Impostos
513,2025-04-05,saida,Manutenção,514.21,Transação referente a Manutenção
779,2025-04-05,saida,Aluguel,1643.04,Transação referente a Aluguel
1316,2025-04-05,saida,Software SaaS,1843.47,Transação referente a Software SaaS
436,2025-04-05,entrada,Vendas de Produtos,13375.48,Transação referente a Vendas de Produtos
465,2025-04-05,entrada,Aportes,5025.3,Transação referente a Aportes
664,2025-04-06,saida,Impostos,2879.17,Transação referente a Impostos
618,2025-04-06,entrada,Vendas de Produtos,5045.35,Transação referente a Vendas de Produtos
1062,2025-04-06,entrada,Aportes,7961.32,Transação referente a Aportes
431,2025-04-07,saida,Logística,2766.92,Transação referente a Logística
1051,2025-04-07,saida,Software SaaS,3609.4,Transação referente a Software SaaS
888,2025-04-07,saida,Aluguel,1136.64,Transação referente a Aluguel
1110,2025-04-07,entrada,Vendas de Produtos,3970.65,Transação referente a Vendas de Produtos
1101,2025-04-07,entrada,Aportes,12136.52,Transação referente a Aportes
